Player ID,Year,Name,College,5 star recruit,POS,Height (in),Weight (lbs),BMI,Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Weight adjusted Bench,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle,Speed Score,Vertical Jump Power,Broad Jump Power,Drafted,Rnd,Pick,G,Cmp,Pass_Att,Pct,Pass_Yds,Y/A,AY/A,Pass_TD,Pass_Int,Rate,Rush_Att,Rush_Yds,Rush_Avg,Rush_TDs,Rec,Rec_Yds,Rec_Avg,Rec_Tds,Pro Bowl,Players AV,Games Played,AV Per Game
2015Nick Boyle,2015,Nick Boyle,Delaware,0,TE,76.5,268,32.19,10.38,33.38,,5.04,20,16.79104478,30.5,112,4.23,7.13,11.65,83.06970036,5920.313505,11344.98162,1,5,171,#N/A,0,0,0,0,0,0,0,0,0,#N/A,0,0,0,#N/A,0,0,0,0,10,73,0.136986301
2015Brandon Bridge,2015,Brandon Bridge,South Alabama,0,QB,76.38,229,27.6,9.25,34.25,,4.72,,0,33,110,4.37,7.18,,92.27785345,5262.019384,9607.089049,0,#N/A,0,11,160,307,52.1,1927,6.3,6.1,15,8,115.8,101,297,2.9,4,0,0,0,0,0,0,0,0
2015Terrance Broadway,2015,Terrance Broadway,Louisiana-Lafayette,0,QB,73,223,29.42,,,,4.62,,0,,,,,,97.89645296,0,0,0,#N/A,0,38,588,923,63.66666667,7561,8.266666667,7.866666667,49,30,144.5,396,1864,4.8,20,0,0,0,0,0,0,0,0
2015Da'Ron Brown,2015,Da'Ron Brown,Northern Illinois,0,WR,72.13,205,27.7,,,,4.54,17,18.65853659,37,120,4.11,7.04,,96.50736218,4987.865275,8982.649943,1,7,233,26,0,0,0,0,0,0,0,0,0,17,153,8.6,1,114,1817,16,15,0,0,0,0
2015Dominique Brown,2015,Dominique Brown,Louisville,0,RB,73.88,234,30.14,9.5,32.38,,4.62,17,16.34615385,,,,,,102.725426,0,0,0,#N/A,0,33,0,0,0,0,0,0,0,0,0,33,399,1736,4.266666667,16,47,411,9.233333333,0,0,0,0
2015Malcolm Brown,2015,Malcolm Brown,Texas,1,RB,71.38,224,30.91,10.25,32.75,,4.62,19,19.08482143,34.5,117,4.15,6.86,11.32,98.33545051,5262.808376,9691.721828,0,#N/A,0,48,0,0,0,0,0,0,0,0,0,48,650,2926,4.875,23,43,433,11.025,0,9,70,0.128571429
2015Clay Burton,2015,Clay Burton,Florida,0,TE,75,248,30.99,,,,4.76,,0,,,,,,96.61707059,0,0,0,#N/A,0,#N/A,0,0,0,0,0,0,0,0,0,#N/A,0,0,0,#N/A,0,0,0,0,0,0,0
2015Mike Burton,2015,Mike Burton,Rutgers,0,FB,71.25,242,33.51,,,,4.74,25,23.24380165,33,115,4.34,7.2,,95.88087638,5560.736642,10380.64353,0,#N/A,0,#N/A,0,0,0,0,0,0,0,0,0,#N/A,0,0,0,0,0,0,0,0,0,0,0
2015Damiere Byrd,2015,Damiere Byrd,South Carolina,0,WR,69,162,23.92,,,,4.39,,0,,,,,,87.23422945,0,0,0,#N/A,0,11,0,0,0,0,0,0,0,0,0,1,13,13,0,33,575,17.4,4,0,11,44,0.25
2015Jesse Callier,2015,Jesse Callier,Washington,0,RB,70,202,28.98,,,,4.53,,0,,,,,,95.93753532,0,0,0,#N/A,0,#N/A,0,0,0,0,0,0,0,0,0,#N/A,0,0,0,0,0,0,0,0,0,0,0
2015Shane Carden,2015,Shane Carden,East Carolina (NC),0,QB,73.88,218,28.08,9.75,33.25,25,4.94,,0,29.5,104,4.45,7.17,,73.21139692,4736.172294,8892.690032,0,#N/A,0,39,1052,1579,66.7,11991,7.566666667,7.8,86,30,144.6,271,253,0.933333333,24,0,0,0,0,0,0,0,0
2015DeAndre Carter,2015,DeAndre Carter,Sacramento State (CA),0,WR,68,186,28.28,,,,4.48,,0,,,,,,92.34872077,0,0,0,#N/A,0,#N/A,0,0,0,0,0,0,0,0,0,#N/A,0,0,0,#N/A,0,0,0,0,4,43,0.093023256
2015B.J. Catalon,2015,B.J. Catalon,Texas Christian,0,RB,67.38,186,28.8,9,30,,4.57,,0,36,114,4.15,6.9,,85.28607729,4464,7943.74622,0,#N/A,0,32,0,0,0,0,0,0,0,0,0,32,328,1644,5,16,48,393,8.433333333,0,0,0,0
2015Rakeem Cato,2015,Rakeem Cato,Marshall (WV),0,QB,71,171,23.85,,,,4.7,,0,,,,,,70.08654869,0,0,0,#N/A,0,53,1153,1838,62.075,14079,7.625,7.85,131,44,144.025,307,839,2.3,15,0,0,0,0,0,0,0,0
2015Jawon Chisholm,2015,Jawon Chisholm,Akron,0,RB,73,202,26.65,,,,4.63,,0,,,,,,87.91387056,0,0,0,#N/A,0,46,0,0,0,0,0,0,0,0,0,46,701,3403,4.925,26,85,682,8.15,0,0,0,0
2015Gerald Christian,2015,Gerald Christian,Louisville,0,TE,75,244,30.49,10.75,32.5,,4.87,28,25.81967213,,,4.7,7.62,12.66,86.75689036,0,0,1,7,256,25,0,0,0,0,0,0,0,0,0,0,0,0,0,60,810,13.6,9,0,0,0,0
